Date,Temperature(C),Rainfall(mm),Wind.speed.(m/s),Humidity(%),Solar.Radiation.(MJ/m2),Snowfall(cm),Visibility.(10m)
2017-03-30 01:00,"5,8",,"1,2",58,,,1178
2017-03-30 02:00,"5,5",,1,60,,,1169
2017-03-30 03:00,"4,9",,"0,3",65,,,1060
2017-03-30 04:00,"4,5",,"0,8",64,,,1056
2017-03-30 05:00,"4,4",,"1,5",67,,,840
2017-03-30 06:00,"4,3",,"1,1",68,,,893
2017-03-30 07:00,"4,3",,"0,6",68,"0,07",,900
2017-03-30 08:00,"5,5",,"0,5",59,"0,38",,907
2017-03-30 09:00,"8,2",,"0,9",51,1,,794
2017-03-30 10:00,"10,9",,"1,6",46,"1,6",,808
2017-03-30 11:00,13,,"2,9",39,"2,11",,967
2017-03-30 12:00,"14,2",,3,34,"2,33",,1087
2017-03-30 13:00,"15,6",,"3,1",30,"2,33",,1061
2017-03-30 14:00,"16,9",,"3,2",30,"2,46",,850
2017-03-30 15:00,"16,8",,"3,5",29,"1,95",,952
2017-03-30 16:00,"16,7",,"3,5",30,"1,57",,985
2017-03-30 17:00,"15,5",,"3,9",33,"0,86",,954
2017-03-30 18:00,"14,8",,"3,1",35,"0,41",,824
2017-03-30 19:00,"13,2",,"2,5",47,"0,1",,899
2017-03-30 20:00,"11,7",,"1,3",59,,,890
2017-03-30 21:00,"10,6",,"1,7",62,,,772
2017-03-30 22:00,"10,5",,"1,4",60,,,820
2017-03-30 23:00,"10,8",,"0,6",58,,,833
2017-03-31 00:00,"10,8",,1,56,,,921
2017-03-31 01:00,"10,5",,"0,5",56,,,859
2017-03-31 02:00,"10,4",,"0,7",58,,,773
2017-03-31 03:00,"10,1",,"1,1",60,,,740
2017-03-31 04:00,"9,9",,"1,9",60,,,645
2017-03-31 05:00,"9,9",,"3,2",55,,,1007
2017-03-31 06:00,"9,7",0,"2,8",59,,,1097
2017-03-31 07:00,"9,6",,"2,5",57,"0,02",,1196
2017-03-31 08:00,"9,9",,"2,4",56,"0,12",,990
2017-03-31 09:00,"10,2","0,2","2,1",63,"0,4",,810
2017-03-31 10:00,"11,7",,"1,6",56,"0,92",,934
2017-03-31 11:00,"12,3",,"1,7",53,"1,02",,720
2017-03-31 12:00,12,0,"1,6",53,"0,46",,492
2017-03-31 13:00,"9,8",,"2,3",86,"0,13",,181
2017-03-31 14:00,"9,2",,"2,3",87,"0,29",,351
2017-03-31 15:00,"8,3","1,3","4,6",89,"0,26",,624
2017-03-31 16:00,8,,"4,3",85,"0,57",,1486
2017-03-31 17:00,"7,6",,"2,6",84,"0,32",,980
2017-03-31 18:00,"7,7",0,"2,6",82,"0,25",,1488
2017-03-31 19:00,"6,9",,"2,8",79,"0,09",,2000
2017-03-31 20:00,"6,3",,"4,1",79,,,2000
2017-03-31 21:00,"6,1",,"3,4",78,,,2000
2017-03-31 22:00,"5,6",,"1,6",80,,,2000
2017-03-31 23:00,"5,3",,"2,2",79,,,2000
2017-04-01 00:00,"4,9",,"1,5",81,,,2000
2017-04-01 01:00,"5,1",,"1,3",77,,,2000
2017-04-01 02:00,"5,7",,"0,8",74,,,2000
2017-04-01 03:00,"5,7",,"0,6",77,,,1960
2017-04-01 04:00,"5,5",,"0,5",78,,,2000
2017-04-01 05:00,"5,6",,1,80,,,1782
2017-04-01 06:00,"5,6",,"0,4",79,,,1992
2017-04-01 07:00,"5,4",,"1,9",78,"0,07",,1993
2017-04-01 08:00,"6,6",,"1,7",71,"0,51",,1871
2017-04-01 09:00,"8,7",,"0,6",61,"1,15",,1949
2017-04-01 10:00,"9,3",,"2,3",60,"1,17",,1966
2017-04-01 11:00,"9,9",,2,57,"1,05",,1933
2017-04-01 12:00,"11,7",,"4,4",51,"2,11",,2000
2017-04-01 13:00,"12,9",,"2,8",39,"2,58",,2000
2017-04-01 14:00,"13,2",,"4,6",34,"1,83",,1954
2017-04-01 15:00,"14,8",,"3,8",29,"2,72",,2000
2017-04-01 16:00,"9,5",1,"1,4",68,"0,62",,2000
2017-04-01 17:00,"12,1",0,"0,9",46,"1,22",,2000
2017-04-01 18:00,"11,7",,"2,6",51,"0,66",,2000
2017-04-01 19:00,"10,2",,"2,3",47,"0,17",,2000
2017-04-01 20:00,"9,2",,"2,3",48,,,1931
2017-04-01 21:00,"8,4",,"3,5",60,,,2000
2017-04-01 22:00,"7,3",,"3,3",66,,,2000
2017-04-01 23:00,"5,9",,2,74,,,2000
2017-04-02 00:00,"5,3",,"2,3",76,,,1965
2017-04-02 01:00,"4,9",,1,78,,,1947
2017-04-02 02:00,"4,6",,"0,3",76,,,1951
2017-04-02 03:00,"4,2",,"1,1",77,,,1258
2017-04-02 04:00,4,,"0,3",78,,,1521
2017-04-02 05:00,"3,3",,"1,2",83,,,1219
2017-04-02 06:00,"3,1",,"0,4",83,,,839
2017-04-02 07:00,"3,2",,"0,4",83,"0,09",,728
2017-04-02 08:00,"4,9",,2,74,"0,53",,879
2017-04-02 09:00,"7,7",,"0,5",65,"1,17",,990
2017-04-02 10:00,"10,1",,"1,5",59,"1,75",,990
2017-04-02 11:00,"12,3",,2,41,"2,2",,1332
2017-04-02 12:00,"13,5",,"3,2",32,"2,57",,1758
2017-04-02 13:00,"14,2",,"3,1",27,"2,68",,1564
2017-04-02 14:00,15,,5,29,"2,63",,1418
2017-04-02 15:00,"15,1",,"4,2",26,"2,32",,1438
2017-04-02 16:00,"15,5",,"3,8",26,"1,84",,1372
2017-04-02 17:00,"14,2",,"3,6",33,"0,98",,1082
2017-04-02 18:00,"12,7",,"3,5",34,"0,56",,1250
2017-04-02 19:00,"10,7",,"3,8",38,"0,12",,1246
2017-04-02 20:00,"9,5",,"2,2",46,,,1139
2017-04-02 21:00,"8,6",,"1,7",52,,,994
2017-04-02 22:00,"8,1",,"2,7",54,,,946
2017-04-02 23:00,"7,5",,"1,2",56,,,962
2017-04-03 00:00,"7,1",,"1,8",56,,,956
2017-04-03 01:00,"6,4",,"0,9",58,,,1039
2017-04-03 02:00,6,,"1,6",57,,,1163
2017-04-03 03:00,"5,5",,"0,6",56,,,1146
2017-04-03 04:00,5,,"0,3",59,,,1022
2017-04-03 05:00,"4,9",,"1,5",67,,,746
2017-04-03 06:00,"4,4",,"0,6",71,,,633
2017-04-03 07:00,"4,5",,"0,1",73,"0,09",,510
2017-04-03 08:00,"6,4",,"0,6",62,"0,51",,453
2017-04-03 09:00,"9,2",,"1,9",55,"1,13",,462
2017-04-03 10:00,"11,7",,2,47,"1,74",,513
2017-04-03 11:00,"13,8",,"2,8",42,"2,23",,516
2017-04-03 12:00,"15,7",,"3,3",37,"2,57",,526
2017-04-03 13:00,"17,5",,"3,5",30,"2,73",,807
2017-04-03 14:00,"18,5",,"4,1",24,"2,61",,849
2017-04-03 15:00,19,,"3,2",22,"2,42",,1285
2017-04-03 16:00,"18,2",,"4,6",28,"1,92",,925
2017-04-03 17:00,18,,"2,8",29,"1,33",,884
2017-04-03 18:00,"16,2",,"3,5",31,"0,67",,950
2017-04-03 19:00,14,,"2,9",35,"0,15",,910
2017-04-03 20:00,"12,8",,"2,8",34,,,1045
2017-04-03 21:00,"11,7",,"1,6",41,,,910
2017-04-03 22:00,"10,9",,"1,6",45,,,908
2017-04-03 23:00,10,,"0,5",50,,,830
2017-04-04 00:00,"9,5",,"0,5",52,,,800
2017-04-04 01:00,"8,9",,"0,9",52,,,839
2017-04-04 02:00,"8,5",,"1,1",54,,,848
2017-04-04 03:00,8,,"1,5",53,,,861
2017-04-04 04:00,"7,4",,"1,8",57,,,813
2017-04-04 05:00,"7,2",,"0,6",55,,,831
2017-04-04 06:00,7,,1,57,,,835
2017-04-04 07:00,"6,7",,"2,1",58,"0,09",,801
2017-04-04 08:00,"8,8",,"1,8",44,"0,51",,833
2017-04-04 09:00,"11,7",,1,34,"1,07",,914
2017-04-04 10:00,"15,1",,"1,6",27,"1,63",,989
2017-04-04 11:00,"16,9",,"1,2",29,"2,05",,826
2017-04-04 12:00,19,,"1,9",28,"2,46",,697
2017-04-04 13:00,"20,4",,2,25,"2,44",,755
2017-04-04 14:00,"21,3",,"3,8",21,"2,36",,875
2017-04-04 15:00,"21,4",,"3,8",21,"2,04",,1022
2017-04-04 16:00,"20,8",,"3,2",22,"1,76",,1135
2017-04-04 17:00,"19,5",,"3,7",23,"1,21",,1245
2017-04-04 18:00,"17,7",,"4,1",25,"0,64",,1301
2017-04-04 19:00,"15,6",,"3,2",30,"0,06",,1211
2017-04-04 20:00,"14,7",,"1,6",31,,,1175
2017-04-04 21:00,"14,3",,"1,7",35,,,921
2017-04-04 22:00,14,,"1,6",33,,,881
2017-04-04 23:00,"13,6",,"1,5",29,,,1154
2017-04-05 00:00,"13,3",,"0,8",29,,,1226
2017-04-05 01:00,"13,2",,"2,4",29,,,1271
2017-04-05 02:00,"12,8",,2,38,,,802
2017-04-05 03:00,"12,3",,"1,5",36,,,966
2017-04-05 04:00,"11,9",,"0,6",41,,,879
2017-04-05 05:00,"11,5",,"0,5",43,,,869
2017-04-05 06:00,"11,4",0,"0,8",35,,,1100
2017-04-05 07:00,"11,6",0,2,37,"0,04",,1143
2017-04-05 08:00,"11,9",0,"0,8",45,"0,12",,965
2017-04-05 09:00,"11,9","0,2","2,4",54,"0,21",,935
2017-04-05 10:00,"12,5",,"3,6",42,"0,32",,1104
2017-04-05 11:00,"13,1",0,"3,1",48,"0,5",,1012
2017-04-05 12:00,14,"0,1","2,8",42,"0,55",,1518
2017-04-05 13:00,"14,1","0,1","3,2",50,"0,52",,1645
2017-04-05 14:00,"13,4","0,1","3,7",62,"0,34",,969
2017-04-05 15:00,"12,4",2,"3,8",75,"0,25",,489
2017-04-05 16:00,"11,2","4,5","4,2",90,"0,14",,239
2017-04-05 17:00,"10,8","4,5","4,4",91,"0,16",,267
2017-04-05 18:00,"10,8","2,5","3,9",92,"0,11",,250
2017-04-05 19:00,"10,8",4,3,94,"0,03",,152
2017-04-05 20:00,"10,8",2,"4,2",94,,,188
2017-04-05 21:00,11,"2,5","2,9",95,,,177
2017-04-05 22:00,"11,4",3,"1,8",98,,,128
2017-04-05 23:00,"11,7",6,"0,9",98,,,112
2017-04-06 00:00,"12,4",6,"2,4",99,,,232
2017-04-06 01:00,"12,1",2,"3,3",98,,,328
2017-04-06 02:00,"11,7",0,"3,9",98,,,150
2017-04-06 03:00,11,"0,5","3,4",98,,,137
2017-04-06 04:00,"10,8",0,"3,3",98,,,91
2017-04-06 05:00,"10,7",0,"2,5",99,,,78
2017-04-06 06:00,"10,5",0,"2,9",99,,,107
2017-04-06 07:00,10,"0,5","3,5",99,"0,02",,106
2017-04-06 08:00,"9,7",0,3,99,"0,07",,165
2017-04-06 09:00,"9,5",0,"2,7",99,"0,18",,182
2017-04-06 10:00,"9,6",0,"3,3",99,"0,36",,269
